"Question","Category","Page/Section","Format","Priority","Solution Tags","Notes"
"What is Serve Funding and how are they different?","About Serve Funding","Homepage","Video+Text","High","All","Main homepage value prop - Michael intro video"
"What if my bank denied me?","About Serve Funding","Homepage FAQ","Video","High","ABL, Working Capital, Debt Refinance","Objection handling - high intent"
"How fast can I get funding?","Process & Timeline","Homepage FAQ","Video","High","All","Objection handling - urgency signal"
"How much does Serve Funding cost?","Cost & Pricing","Homepage FAQ","Text","High","All","Transparency on 1-2% fee"
"What industries do you serve?","About Serve Funding","Homepage FAQ","Text","Medium","All","Trust signal"
"Why work with an advisor instead of going direct to a lender?","About Serve Funding","Homepage FAQ","Video","High","All","Core differentiation question"
"What is working capital and when should I use it?","Solution Explainer","Working Capital Loans","Video+Text","High","Working Capital","Main solution page question"
"How fast can I get working capital?","Process & Timeline","Working Capital Loans","Video","High","Working Capital","Timeline objection"
"What's the typical cost of working capital financing?","Cost & Pricing","Working Capital Loans","Video","High","Working Capital","Cost comparison"
"What if my business is new with no revenue?","Objection Handling","Working Capital Loans","Video","High","Working Capital","Common barrier"
"How much working capital can I get?","Qualification","Working Capital Loans","Text","Medium","Working Capital","Amount expectations"
"What happens if I can't get approved by a bank?","Objection Handling","Working Capital Loans","Video","High","Working Capital","Referral driver"
"Working capital loans vs. lines of credit - which is right for me?","Comparison","Working Capital Loans","Video","High","Working Capital","Decision question"
"What documents do I need to qualify for working capital?","Process & Timeline","Working Capital Loans","Text","Medium","Working Capital","Friction reducer"
"What is asset-based lending and who needs it?","Solution Explainer","Asset-Based Lending","Video+Text","High","ABL","Main solution page question"
"How fast can I get asset-based lending?","Process & Timeline","Asset-Based Lending","Video","High","ABL","Timeline objection"
"What assets can I use as collateral?","Qualification","Asset-Based Lending","Video","Medium","ABL","Qualification question"
"What's the cost of asset-based lending?","Cost & Pricing","Asset-Based Lending","Video","High","ABL","Cost comparison"
"How is asset-based lending different from invoice factoring?","Comparison","Asset-Based Lending","Video","High","ABL, Factoring","Decision question"
"Can I get asset-based lending if I have bad credit?","Objection Handling","Asset-Based Lending","Video","Medium","ABL","Common barrier"
"What happens after I apply for asset-based lending?","Process & Timeline","Asset-Based Lending","Video","Medium","ABL","Friction reducer"
"How much can I borrow with asset-based lending?","Qualification","Asset-Based Lending","Text","Medium","ABL","Amount expectations"
"What is invoice factoring and is it right for my business?","Solution Explainer","Invoice Factoring","Video+Text","High","Factoring","Main solution page question"
"How fast do I get paid with invoice factoring?","Process & Timeline","Invoice Factoring","Video","High","Factoring","Speed objection"
"What does invoice factoring cost?","Cost & Pricing","Invoice Factoring","Video","High","Factoring","Cost comparison"
"What industries use invoice factoring most?","Industry Specific","Invoice Factoring","Text","Medium","Factoring","Use case examples"
"Invoice factoring vs. asset-based lending - which is better?","Comparison","Invoice Factoring","Video","High","Factoring, ABL","Decision question"
"Can I use factoring while still getting other financing?","Qualification","Invoice Factoring","Text","Medium","Factoring","Combination question"
"What if my customer doesn't pay on time?","Risk Handling","Invoice Factoring","Video","Medium","Factoring","Risk question"
"How much can I factor?","Qualification","Invoice Factoring","Text","Medium","Factoring","Amount expectations"
